station,valid,lon,lat,tmpf,dwpf,relh,drct,sped,mslp,p01m,vsby,gust_mph,wxcodes
LAF,2020-01-01 00:00,-86.9333,40.4148,null,null,null,250.00,12.65,null,null,10.00,null,null
LAF,2020-01-01 00:05,-86.9333,40.4148,null,null,null,250.00,11.50,null,null,10.00,null,null
LAF,2020-01-01 00:10,-86.9333,40.4148,null,null,null,240.00,12.65,null,null,10.00,null,null
LAF,2020-01-01 00:15,-86.9333,40.4148,null,null,null,250.00,11.50,null,null,10.00,19.55,null
LAF,2020-01-01 00:19,-86.9333,40.4148,33.10,25.00,71.82,250.00,11.50,null,0.00,10.00,20.70,null
LAF,2020-01-01 00:20,-86.9333,40.4148,null,null,null,250.00,11.50,null,null,10.00,null,null
LAF,2020-01-01 00:25,-86.9333,40.4148,null,null,null,250.00,12.65,null,null,10.00,null,null
LAF,2020-01-01 00:30,-86.9333,40.4148,null,null,null,250.00,11.50,null,null,10.00,17.25,null
LAF,2020-01-01 00:35,-86.9333,40.4148,null,null,null,250.00,12.65,null,null,10.00,null,null
LAF,2020-01-01 00:40,-86.9333,40.4148,null,null,null,250.00,11.50,null,null,10.00,null,null
LAF,2020-01-01 00:45,-86.9333,40.4148,null,null,null,250.00,12.65,null,null,10.00,19.55,null
LAF,2020-01-01 00:50,-86.9333,40.4148,null,null,null,250.00,12.65,null,null,10.00,null,null
LAF,2020-01-01 00:54,-86.9333,40.4148,33.10,26.10,75.18,260.00,12.65,1011.90,0.00,10.00,21.85,null
LAF,2020-01-01 00:55,-86.9333,40.4148,null,null,null,260.00,11.50,null,null,10.00,null,null
LAF,2020-01-01 01:00,-86.9333,40.4148,null,null,null,260.00,12.65,null,null,10.00,20.70,null
LAF,2020-01-01 01:05,-86.9333,40.4148,null,null,null,260.00,14.95,null,null,10.00,21.85,null
LAF,2020-01-01 01:07,-86.9333,40.4148,33.10,26.10,75.18,260.00,12.65,null,0.00,10.00,21.85,null
LAF,2020-01-01 01:10,-86.9333,40.4148,null,null,null,260.00,11.50,null,null,10.00,18.40,null
LAF,2020-01-01 01:15,-86.9333,40.4148,null,null,null,250.00,12.65,null,null,10.00,21.85,null
LAF,2020-01-01 01:20,-86.9333,40.4148,null,null,null,250.00,12.65,null,null,10.00,21.85,null
LAF,2020-01-01 01:25,-86.9333,40.4148,null,null,null,250.00,14.95,null,null,10.00,null,null
LAF,2020-01-01 01:30,-86.9333,40.4148,null,null,null,250.00,10.35,null,null,10.00,null,null
LAF,2020-01-01 01:35,-86.9333,40.4148,null,null,null,250.00,12.65,null,null,10.00,20.70,null
LAF,2020-01-01 01:40,-86.9333,40.4148,null,null,null,260.00,10.35,null,null,10.00,null,null
LAF,2020-01-01 01:45,-86.9333,40.4148,null,null,null,260.00,12.65,null,null,10.00,18.40,null
LAF,2020-01-01 01:50,-86.9333,40.4148,null,null,null,270.00,11.50,null,null,10.00,null,null
LAF,2020-01-01 01:54,-86.9333,40.4148,33.10,26.10,75.18,250.00,13.80,1011.90,0.00,10.00,null,null
LAF,2020-01-01 01:55,-86.9333,40.4148,null,null,null,250.00,12.65,null,null,10.00,null,null
LAF,2020-01-01 02:00,-86.9333,40.4148,null,null,null,260.00,11.50,null,null,10.00,null,null
LAF,2020-01-01 02:05,-86.9333,40.4148,null,null,null,250.00,10.35,null,null,10.00,null,null
LAF,2020-01-01 02:10,-86.9333,40.4148,null,null,null,270.00,16.10,null,null,10.00,null,null
LAF,2020-01-01 02:15,-86.9333,40.4148,null,null,null,270.00,16.10,null,null,10.00,null,null
LAF,2020-01-01 02:20,-86.9333,40.4148,null,null,null,270.00,14.95,null,null,10.00,21.85,null
LAF,2020-01-01 02:25,-86.9333,40.4148,null,null,null,260.00,14.95,null,null,10.00,null,null
LAF,2020-01-01 02:30,-86.9333,40.4148,null,null,null,270.00,16.10,null,null,10.00,null,null
LAF,2020-01-01 02:35,-86.9333,40.4148,null,null,null,260.00,18.40,null,null,10.00,25.30,null
LAF,2020-01-01 02:40,-86.9333,40.4148,null,null,null,260.00,16.10,null,null,10.00,null,null
LAF,2020-01-01 02:45,-86.9333,40.4148,null,null,null,260.00,16.10,null,null,10.00,21.85,null
LAF,2020-01-01 02:50,-86.9333,40.4148,null,null,null,260.00,12.65,null,null,10.00,null,null
LAF,2020-01-01 02:54,-86.9333,40.4148,33.10,25.00,71.82,270.00,17.25,1012.20,0.00,10.00,null,null
LAF,2020-01-01 02:55,-86.9333,40.4148,null,null,null,270.00,16.10,null,null,10.00,null,null
LAF,2020-01-01 03:00,-86.9333,40.4148,null,null,null,250.00,12.65,null,null,10.00,23.00,null
